2024-11-12T09:15:23Z, JSMITH, BBG_PROD, EURGBP=, 42, 18320, FX-LVL2
2024-11-12T09:15:24Z, JSMITH, BBG_PROD, GBPUSD=, 38, 17210, FX-LVL2
2024-11-12T09:15:25Z, MLEE, IDN, VOD.L, 12, 5400, UK-EQ-L1
2024-11-12T09:15:26Z, AKHAN, IDN, AAPL.O, 55, 22100, US-EQ-L1
2024-11-12T09:15:27Z, JSMITH, BBG_PROD, EURUSD=, 47, 19010, FX-LVL2
2024-11-12T09:15:28Z, MLEE, IDN, BP.L, 9, 4100, UK-EQ-L1
2024-11-12T09:15:29Z, AKHAN, IDN, MSFT.O, 61, 24500, US-EQ-L1
2024-11-12T09:15:30Z, RCHEN, BBG_PROD, USDJPY=, 33, 15000, FX-LVL1
2024-11-12T09:15:31Z, RCHEN, BBG_PROD, AUDUSD=, 29, 13800, FX-LVL1
2024-11-12T09:15:32Z, JSMITH, BBG_PROD, EURGBP=, 41, 18100, FX-LVL2
2024-11-12T09:15:33Z, MLEE, IDN, HSBA.L, 14, 6200, UK-EQ-L1
2024-11-12T09:15:34Z, AKHAN, IDN, TSLA.O, 58, 23300, US-EQ-L1
2024-11-12T09:15:35Z, RCHEN, BBG_PROD, NZDUSD=, 27, 12900, FX-LVL1
2024-11-12T09:15:36Z, JSMITH, BBG_PROD, EURUSD=, 49, 19800, FX-LVL2
2024-11-12T09:15:37Z, MLEE, IDN, BARC.L, 11, 5000, UK-EQ-L1
2024-11-12T09:15:38Z, AKHAN, IDN, AMZN.O, 63, 25100, US-EQ-L1
2024-11-12T09:15:39Z, RCHEN, BBG_PROD, USDJPY=, 35, 15800, FX-LVL1
2024-11-12T09:15:40Z, JSMITH, BBG_PROD, GBPUSD=, 37, 17000, FX-LVL2
2024-11-12T09:15:41Z, MLEE, IDN, VOD.L, 13, 5600, UK-EQ-L1
2024-11-12T09:15:42Z, AKHAN, IDN, AAPL.O, 57, 22900, US-EQ-L1
2024-11-12T09:15:43Z, RCHEN, BBG_PROD, AUDUSD=, 31, 14200, FX-LVL1
2024-11-12T09:15:44Z, JSMITH, BBG_PROD, EURGBP=, 40, 17900, FX-LVL2
2024-11-12T09:15:45Z, MLEE, IDN, BP.L, 10, 4300, UK-EQ-L1
2024-11-12T09:15:46Z, AKHAN, IDN, MSFT.O, 60, 24300, US-EQ-L1
2024-11-12T09:15:47Z, RCHEN, BBG_PROD, NZDUSD=, 28, 13100, FX-LVL1
2024-11-12T09:15:48Z, JSMITH, BBG_PROD, EURUSD=, 48, 19500, FX-LVL2
2024-11-12T09:15:49Z, MLEE, IDN, HSBA.L, 15, 6400, UK-EQ-L1
2024-11-12T09:15:50Z, AKHAN, IDN, TSLA.O, 59, 23600, US-EQ-L1
2024-11-12T09:15:51Z, RCHEN, BBG_PROD, USDJPY=, 34, 15500, FX-LVL1
2024-11-12T09:15:52Z, JSMITH, BBG_PROD, GBPUSD=, 39, 17300, FX-LVL2
2024-11-12T09:15:53Z, MLEE, IDN, BARC.L, 12, 5200, UK-EQ-L1
2024-11-12T09:15:54Z, AKHAN, IDN, AMZN.O, 62, 24900, US-EQ-L1
2024-11-12T09:15:55Z, RCHEN, BBG_PROD, AUDUSD=, 30, 14000, FX-LVL1
2024-11-12T09:15:56Z, JSMITH, BBG_PROD, EURGBP=, 43, 18500, FX-LVL2
2024-11-12T09:15:57Z, MLEE, IDN, VOD.L, 14, 5800, UK-EQ-L1
2024-11-12T09:15:58Z, AKHAN, IDN, AAPL.O, 56, 22500, US-EQ-L1
2024-11-12T09:15:59Z, RCHEN, BBG_PROD, NZDUSD=, 26, 12700, FX-LVL1
2024-11-12T09:16:00Z, JSMITH, BBG_PROD, EURUSD=, 50, 20000, FX-LVL2
2024-11-12T09:16:01Z, MLEE, IDN, BP.L, 8, 3900, UK-EQ-L1
2024-11-12T09:16:02Z, AKHAN, IDN, MSFT.O, 64, 25500, US-EQ-L1
2024-11-12T09:16:03Z, RCHEN, BBG_PROD, USDJPY=, 36, 16000, FX-LVL1
2024-11-12T09:16:04Z, JSMITH, BBG_PROD, GBPUSD=, 36, 16800, FX-LVL2
2024-11-12T09:16:05Z, MLEE, IDN, HSBA.L, 13, 6000, UK-EQ-L1
2024-11-12T09:16:06Z, AKHAN, IDN, TSLA.O, 57, 23200, US-EQ-L1
2024-11-12T09:16:07Z, RCHEN, BBG_PROD, AUDUSD=, 32, 14500, FX-LVL1
2024-11-12T09:16:08Z, JSMITH, BBG_PROD, EURGBP=, 44, 18700, FX-LVL2
2024-11-12T09:16:09Z, MLEE, IDN, BARC.L, 10, 4900, UK-EQ-L1
2024-11-12T09:16:10Z, AKHAN, IDN, AMZN.O, 61, 24700, US-EQ-L1
2024-11-12T09:16:11Z, RCHEN, BBG_PROD, NZDUSD=, 29, 13300, FX-LVL1
